municipio,uf,bev,phev,hev,mhev,hev_flex,ev_plugin,total
"Bom Sucesso","PB",1,0,0,0,0,1,1
"Bom Sucesso","PR",3,1,0,0,2,4,6
"Bom Sucesso de Itararé","SP",0,1,1,0,0,1,2
"Bom Sucesso do Sul","PR",0,1,0,0,0,1,1
"Bombinhas","SC",72,129,28,19,46,201,294
"Bonfim","RR",1,0,0,0,2,1,3
"Bonfinópolis","GO",2,0,0,0,1,2,3
"Boninal","BA",0,0,0,1,1,0,2
"Bonito","BA",1,0,0,1,1,1,3
"Bonito","MS",2,10,6,3,5,12,26
"Bonito","PA",1,0,0,0,0,1,1
"Bonito","PE",4,2,1,1,0,6,8
"Bonito de Santa Fé","PB",0,0,0,0,2,0,2
"Boqueirão","PB",0,1,0,0,2,1,3
"Boqueirão do Leão","RS",0,0,0,0,3,0,3
"Boquim","SE",11,9,0,0,1,20,21
"Boquira","BA",1,0,0,0,1,1,2
"Boracéia","SP",0,5,1,0,1,5,7
"Borborema","SP",2,14,3,0,3,16,22
"Borda da Mata","MG",3,3,2,0,0,6,8
"Borebi","SP",0,2,0,0,0,2,2
"Borrazópolis","PR",1,1,0,0,0,2,2
"Bossoroca","RS",0,3,0,0,1,3,4
"Botelhos","MG",0,1,0,0,1,1,2
"Botucatu","SP",278,292,29,13,140,570,752
"Botuverá","SC",2,4,0,1,1,6,8
"Bozano","RS",1,0,0,0,0,1,1
"Braço do Norte","SC",20,57,8,7,21,77,113
"Braço do Trombudo","SC",1,3,1,1,0,4,6
"Braga","RS",1,1,0,0,0,2,2
"Bragança","PA",9,10,2,3,18,19,42
"Bragança Paulista","SP",302,369,86,44,164,671,965
"Brás Pires","MG",0,0,0,0,2,0,2
"Brasil Novo","PA",1,0,0,0,0,1,1
"Brasilândia","MS",1,4,1,0,0,5,6
"Brasilândia de Minas","MG",0,0,0,0,1,0,1
"Brasilândia do Sul","PR",1,0,0,0,0,1,1
"Brasiléia","AC",1,5,0,0,4,6,10
"Brasília","DF",23275,24589,4828,1657,6006,47864,60355
"Brasília de Minas","MG",1,1,0,0,1,2,3
"Brasnorte","MT",2,8,0,1,3,10,14
"Braúna","SP",0,1,1,0,1,1,3
"Brazabrantes","GO",2,2,0,0,0,4,4
"Brazópolis","MG",2,1,0,0,1,3,4
"Brejetuba","ES",2,2,2,0,5,4,11
"Brejinho","PE",1,1,0,0,0,2,2
"Brejinho","RN",2,2,0,0,0,4,4
"Brejo","MA",1,0,0,0,0,1,1
"Brejo Alegre","SP",1,0,0,0,1,1,2
"Brejo da Madre de Deus","PE",8,2,0,0,0,10,10
"Brejo do Cruz","PB",0,0,0,0,1,0,1
"Brejo Santo","CE",2,6,2,0,0,8,10
"Brejões","BA",0,0,1,0,1,0,2
"Breu Branco","PA",0,2,0,0,1,2,3
"Breves","PA",6,5,2,1,0,11,14
"Brochier","RS",2,0,0,1,2,2,5
"Brodowski","SP",9,13,7,4,8,22,41
"Brotas","SP",4,14,2,1,2,18,23
"Brumadinho","MG",11,11,4,3,7,22,36
"Brumado","BA",16,19,3,1,13,35,52
"Brunópolis","SC",0,0,0,0,3,0,3
"Brusque","SC",275,424,79,46,103,699,927
"Bueno Brandão","MG",0,0,1,0,2,0,3
"Buenópolis","MG",1,0,0,0,1,1,2
"Buerarema","BA",1,0,0,0,1,1,2
"Buíque","PE",2,2,0,0,2,4,6
"Bujari","AC",1,0,0,0,1,1,2
"Bujaru","PA",0,1,0,0,0,1,1
"Buri","SP",6,10,2,1,4,16,23
"Buritama","SP",3,15,5,2,3,18,28
"Buriti Alegre","GO",1,3,0,1,2,4,7
"Buriti de Goiás","GO",1,2,0,0,1,3,4
"Buriti dos Lopes","PI",2,0,0,0,1,2,3
"Buriticupu","MA",1,4,0,0,4,5,9
"Buritirana","MA",2,0,0,0,0,2,2
"Buritis","RO",0,6,1,0,2,6,9
"Buritizal","SP",1,0,1,0,1,1,3
"Butiá","RS",9,5,1,1,5,14,21
"Caaporã","PB",2,1,0,0,0,3,3
"Caarapó","MS",2,9,3,0,1,11,15
"Caatiba","BA",2,2,0,0,0,4,4
"Cabaceiras","PB",1,0,0,0,0,1,1
"Cabaceiras do Paraguaçu","BA",0,1,1,1,2,1,5
"Cabedelo","PB",294,222,56,15,106,516,693
"Cabixi","RO",0,0,1,0,1,0,2
"Cabo de Santo Agostinho","PE",215,127,17,5,24,342,388
"Cabo Frio","RJ",193,213,52,24,140,406,622
"Cabo Verde","MG",0,0,0,0,1,0,1
"Cabreúva","SP",46,53,11,7,18,99,135
"Cabrobó","PE",4,2,1,2,4,6,13
"Caçador","SC",37,77,20,7,13,114,154
"Caçapava","SP",72,73,18,15,21,145,199
"Caçapava do Sul","RS",10,7,3,0,4,17,24
"Cacaulândia","RO",1,2,0,0,0,3,3
"Cacequi","RS",2,0,1,0,0,2,3
"Cáceres","MT",61,73,25,9,57,134,225
"Cachoeira","BA",4,6,2,4,5,10,21
"Cachoeira Alta","GO",1,5,0,0,1,6,7
"Cachoeira de Minas","MG",4,0,0,0,0,4,4
"Cachoeira do Arari","PA",0,0,0,0,1,0,1
"Cachoeira do Piriá","PA",0,0,0,0,2,0,2
"Cachoeira do Sul","RS",31,14,11,8,20,45,84
"Cachoeira Dourada","GO",2,5,0,1,3,7,11
"Cachoeira Dourada","MG",0,0,0,0,2,0,2
"Cachoeira Paulista","SP",5,14,2,1,7,19,29
"Cachoeiras de Macacu","RJ",16,18,5,1,15,34,55
"Cachoeirinha","PE",5,0,1,0,4,5,10
"Cachoeirinha","RS",272,118,29,18,26,390,463
"Cachoeirinha","TO",0,0,0,0,1,0,1
"Cachoeiro de Itapemirim","ES",207,314,77,18,125,521,741
"Cacimba de Dentro","PB",0,1,1,0,0,1,2
"Cacoal","RO",81,100,24,5,27,181,237
"Caconde","SP",7,7,1,0,5,14,20
"Caçu","GO",2,4,2,1,4,6,13
"Caculé","BA",2,5,1,0,2,7,10
"Caém","BA",0,0,0,0,1,0,1
"Caetanópolis","MG",1,1,0,0,2,2,4
"Caetanos","BA",1,0,0,0,0,1,1
"Caeté","MG",0,8,0,0,1,8,9
"Caetés","PE",4,1,0,0,0,5,5
"Caetité","BA",12,10,1,0,8,22,31
"Cafarnaum","BA",3,0,0,0,3,3,6
"Cafeara","PR",0,1,0,0,0,1,1
"Cafelândia","PR",7,10,4,0,3,17,24
"Cafelândia","SP",8,10,7,0,8,18,33
"Caiabu","SP",0,1,0,0,0,1,1
"Caiapônia","GO",2,5,2,0,4,7,13
"Caibaté","RS",1,0,0,0,0,1,1
"Caibi","SC",1,11,3,1,0,12,16
"Caiçara","PB",2,0,0,0,0,2,2
"Caicó","RN",47,22,3,9,16,69,97
"Caieiras","SP",75,95,25,10,45,170,250
"Cairu","BA",1,0,0,0,2,1,3
"Cajamar","SP",111,127,25,11,90,238,364
"Cajari","MA",0,0,0,1,1,0,2
"Cajati","SP",3,2,0,1,7,5,13
"Cajazeiras","PB",16,26,8,10,29,42,89
"Cajazeiras do Piauí","PI",0,0,0,0,2,0,2
"Cajobi","SP",3,2,1,0,1,5,7
"Cajueiro","AL",2,0,2,0,2,2,6
"Cajueiro da Praia","PI",1,2,1,0,0,3,4
"Cajuru","SP",3,11,1,3,6,14,24
"Caldas","MG",0,1,0,0,2,1,3
"Caldas Novas","GO",53,62,8,12,52,115,187
"Caldazinha","GO",0,1,0,0,0,1,1
"Caldeirão Grande","BA",1,0,0,0,0,1,1
"Califórnia","PR",1,3,0,0,0,4,4
"Calumbi","PE",0,1,0,0,0,1,1
"Camacan","BA",0,0,0,0,2,0,2
"Camaçari","BA",425,264,71,23,142,689,925
"Camacho","MG",0,1,0,0,1,1,2
"Camamu","BA",2,0,1,0,1,2,4
"Camanducaia","MG",6,4,0,2,3,10,15
"Camapuã","MS",0,3,0,2,1,3,6
"Camaquã","RS",21,22,17,8,9,43,77
"Camaragibe","PE",261,81,17,11,34,342,404
"Camargo","RS",0,0,0,1,0,0,1
"Cambará","PR",2,5,3,0,5,7,15
"Cambará do Sul","RS",0,1,0,0,5,1,6
"Cambé","PR",115,99,18,3,16,214,251
"Cambira","PR",1,5,1,0,0,6,7
"Camboriú","SC",160,147,43,23,29,307,402
"Cambuci","RJ",1,1,0,0,3,2,5
"Cambuí","MG",5,3,2,0,6,8,16
"Cambuquira","MG",0,2,0,0,1,2,3
"Cametá","PA",2,5,4,0,7,7,18
"Camocim","CE",14,8,1,0,8,22,31
"Camocim de São Félix","PE",3,0,1,0,0,3,4
"Campanha","MG",1,1,0,0,0,2,2
"Campestre","AL",0,1,0,0,0,1,1
"Campestre","MG",1,0,1,0,3,1,5
"Campestre da Serra","RS",0,1,1,0,1,1,3
"Campestre de Goiás","GO",2,0,0,0,0,2,2
"Campestre do Maranhão","MA",2,0,0,0,0,2,2
"Campina da Lagoa","PR",3,8,0,0,3,11,14
"Campina das Missões","RS",1,0,2,0,1,1,4
"Campina do Monte Alegre","SP",2,0,1,0,0,2,3
"Campina do Simão","PR",0,1,0,0,1,1,2
"Campina Grande","PB",683,409,98,64,261,1092,1515
"Campina Grande do Sul","PR",63,35,5,6,7,98,116
"Campina Verde","MG",0,0,0,0,1,0,1
"Campinaçu","GO",0,0,0,0,1,0,1
"Campinápolis","MT",0,0,0,0,1,0,1
"Campinas","SP",3806,5882,847,415,1221,9688,12171
"Campinas do Sul","RS",1,0,0,0,0,1,1
"Campinorte","GO",0,2,0,0,2,2,4
"Campo Alegre","AL",5,3,1,0,2,8,11
"Campo Alegre","SC",4,14,1,1,2,18,22
"Campo Alegre de Goiás","GO",1,0,1,0,0,1,2
"Campo Alegre de Lourdes","BA",1,2,0,0,0,3,3
"Campo Belo","MG",5,9,0,1,2,14,17
"Campo Belo do Sul","SC",0,0,2,0,2,0,4
"Campo Bom","RS",129,87,11,15,33,216,275
"Campo Bonito","PR",0,2,0,1,0,2,3
"Campo do Brito","SE",1,2,1,2,0,3,6
"Campo do Meio","MG",0,3,0,0,6,3,9
"Campo do Tenente","PR",0,0,1,0,0,0,1
"Campo Erê","SC",0,2,1,0,0,2,3
"Campo Formoso","BA",3,0,0,0,2,3,5
"Campo Grande","AL",2,0,0,0,1,2,3
"Campo Grande","MS",1078,2022,529,275,780,3100,4684
"Campo Grande","RN",1,0,0,0,0,1,1
"Campo Grande do Piauí","PI",1,0,0,0,0,1,1
"Campo Largo","PR",185,122,35,14,13,307,369
"Campo Largo do Piauí","PI",1,0,0,0,0,1,1
"Campo Limpo de Goiás","GO",5,1,0,0,3,6,9
"Campo Limpo Paulista","SP",52,23,12,4,16,75,107
"Campo Magro","PR",24,17,2,2,3,41,48
"Campo Maior","PI",7,6,3,2,10,13,28
"Campo Mourão","PR",52,111,24,12,19,163,218
"Campo Novo","RS",1,2,1,0,2,3,6
"Campo Novo de Rondônia","RO",0,0,0,0,1,0,1
"Campo Novo do Parecis","MT",2,40,4,8,11,42,65
"Campo Verde","MT",9,51,13,7,8,60,88
"Campos Altos","MG",0,0,0,0,3,0,3
"Campos Belos","GO",0,1,1,0,4,1,6
"Campos Borges","RS",1,0,0,0,0,1,1
"Campos de Júlio","MT",0,3,1,2,1,3,7
"Campos do Jordão","SP",40,31,12,7,15,71,105
"Campos dos Goytacazes","RJ",134,193,80,30,217,327,654
"Campos Gerais","MG",2,0,0,1,1,2,4
"Campos Lindos","TO",3,1,0,0,0,4,4
"Campos Novos","SC",11,57,12,3,10,68,93
"Campos Novos Paulista","SP",0,1,0,0,1,1,2
"Campos Sales","CE",1,1,0,0,1,2,3
"Campos Verdes","GO",0,0,0,0,1,0,1
"Camutanga","PE",1,0,0,0,0,1,1
"Canaã","MG",0,0,1,0,1,0,2
"Canaã dos Carajás","PA",36,23,3,3,23,59,88
"Cananéia","SP",2,5,2,0,1,7,10
"Canápolis","MG",2,1,1,0,0,3,4
"Canarana","BA",0,0,0,0,3,0,3
"Canarana","MT",2,10,1,0,5,12,18
"Canas","SP",3,2,0,1,0,5,6
"Canavieiras","BA",0,0,0,0,1,0,1
"Candeal","BA",0,0,0,0,2,0,2
"Candeias","BA",26,20,2,2,19,46,69
"Candeias","MG",2,1,0,0,0,3,3
"Candeias do Jamari","RO",18,5,0,0,2,23,25
"Candelária","RS",5,2,1,2,7,7,17
"Candiba","BA",1,0,0,0,0,1,1
"Cândido de Abreu","PR",1,3,0,0,1,4,5
"Cândido Mendes","MA",1,0,0,0,0,1,1
"Cândido Mota","SP",8,10,0,0,4,18,22
"Cândido Sales","BA",2,2,0,0,2,4,6
"Candiota","RS",3,1,0,0,0,4,4
"Candói","PR",2,3,0,0,1,5,6
"Canela","RS",89,36,8,4,18,125,155
"Canelinha","SC",8,14,6,2,2,22,32
"Canguaretama","RN",4,0,0,0,1,4,5
"Canguçu","RS",10,10,1,0,8,20,29
"Canhoba","SE",1,0,0,0,0,1,1
"Canhotinho","PE",2,0,0,0,3,2,5
"Canindé","CE",6,3,2,0,5,9,16
"Canindé de São Francisco","SE",0,1,0,0,0,1,1
"Canitar","SP",1,0,1,0,0,1,2
"Canoas","RS",746,368,109,65,149,1114,1437
"Canoinhas","SC",14,34,9,11,36,48,104
"Cansanção","BA",7,2,0,1,1,9,11
"Cantá","RR",5,0,0,0,1,5,6
"Cantagalo","MG",0,0,0,0,1,0,1
"Cantagalo","PR",0,3,2,0,0,3,5
"Cantagalo","RJ",7,6,0,0,1,13,14
"Cantanhede","MA",1,0,1,0,1,1,3
"Canto do Buriti","PI",0,1,2,0,0,1,3
"Canudos","BA",0,0,0,0,1,0,1
"Capanema","PA",12,14,1,2,9,26,38
"Capanema","PR",0,10,1,0,2,10,13
"Capão Bonito","SP",10,16,4,3,10,26,43
"Capão da Canoa","RS",97,79,22,18,38,176,254
"Capão do Cipó","RS",0,0,0,0,1,0,1
"Capão do Leão","RS",12,6,0,0,2,18,20
"Capela","AL",0,0,1,0,0,0,1
"Capela","SE",0,3,0,0,1,3,4
"Capela de Santana","RS",12,2,0,1,3,14,18
"Capela do Alto","SP",5,11,3,0,2,16,21
"Capela do Alto Alegre","BA",3,1,0,0,0,4,4
"Capelinha","MG",0,3,0,1,1,3,5
"Capetinga","MG",0,1,0,0,1,1,2
"Capim Branco","MG",1,0,0,1,0,1,2
"Capim Grosso","BA",9,5,2,0,0,14,16
"Capinópolis","MG",0,4,0,0,1,4,5
"Capinzal","SC",7,7,5,3,1,14,23
"Capinzal do Norte","MA",1,0,0,0,0,1,1
"Capistrano","CE",0,1,0,0,0,1,1
"Capitão","RS",2,0,0,0,1,2,3
"Capitão Andrade","MG",0,0,0,0,1,0,1
"Capitão de Campos","PI",1,0,0,0,1,1,2
"Capitão Enéas","MG",1,0,0,0,0,1,1
"Capitão Leônidas Marques","PR",8,10,1,1,0,18,20
"Capitão Poço","PA",1,7,0,1,10,8,19
"Capitólio","MG",1,1,0,0,2,2,4
"Capivari","SP",20,39,14,5,25,59,103
"Capivari de Baixo","SC",8,9,4,1,11,17,33
"Capivari do Sul","RS",0,0,0,1,0,0,1
"Capixaba","AC",1,0,0,0,0,1,1
"Capoeiras","PE",1,0,0,0,1,1,2
"Caputira","MG",0,1,0,0,1,1,2
"Caraá","RS",6,1,0,0,1,7,8
"Caracaraí","RR",2,0,0,0,0,2,2
"Caracol","MS",0,0,0,0,1,0,1
"Caraguatatuba","SP",159,178,42,43,39,337,461
"Caraíbas","BA",1,1,0,0,1,2,3
"Carambeí","PR",12,14,1,3,1,26,31
"Carandaí","MG",1,1,0,1,2,2,5
"Carangola","MG",5,6,1,0,5,11,17
"Carapebus","RJ",5,4,1,0,3,9,13
"Carapicuíba","SP",157,170,35,16,64,327,442
"Caratinga","MG",16,15,9,11,17,31,68
"Caraúbas","PB",0,2,0,0,0,2,2
"Caraúbas","RN",0,4,0,1,3,4,8
"Caravelas","BA",0,0,0,0,1,0,1
"Carazinho","RS",56,59,13,11,6,115,145
"Cardeal da Silva","BA",1,4,0,0,3,5,8
"Cardoso","SP",0,0,0,1,2,0,3
"Cardoso Moreira","RJ",2,3,0,0,1,5,6
"Careaçu","MG",0,0,0,0,1,0,1
"Careiro","AM",1,0,0,0,0,1,1
"Cariacica","ES",2125,1059,368,135,158,3184,3845
"Caridade","CE",2,1,0,0,1,3,4
"Carinhanha","BA",1,0,0,0,1,1,2
"Carira","SE",2,1,0,0,1,3,4
"Cariré","CE",1,4,0,0,2,5,7
"Cariri do Tocantins","TO",0,0,0,1,0,0,1
"Caririaçu","CE",1,0,0,0,0,1,1
"Carlinda","MT",0,1,0,0,0,1,1
"Carlópolis","PR",11,8,2,0,4,19,25
"Carlos Barbosa","RS",25,29,5,7,21,54,87
"Carlos Gomes","RS",0,0,0,0,1,0,1
"Carmésia","MG",0,1,0,0,0,1,1
"Carmo","RJ",1,2,0,0,4,3,7
"Carmo da Cachoeira","MG",0,2,0,0,1,2,3
"Carmo da Mata","MG",1,1,0,0,0,2,2
"Carmo de Minas","MG",1,0,2,0,1,1,4
"Carmo do Cajuru","MG",1,3,1,0,0,4,5
"Carmo do Paranaíba","MG",1,4,0,0,5,5,10
"Carmo do Rio Claro","MG",2,0,0,0,3,2,5
"Carmo do Rio Verde","GO",0,3,1,1,2,3,7
"Carmópolis","SE",1,0,0,0,0,1,1
"Carmópolis de Minas","MG",2,2,0,0,0,4,4
"Carnaíba","PE",1,0,0,0,0,1,1
"Carnaúba dos Dantas","RN",2,1,0,0,1,3,4
"Carneiros","AL",1,0,0,0,0,1,1
"Carolina","MA",3,0,0,0,2,3,5
"Carpina","PE",86,29,4,3,16,115,138
"Caruaru","PE",637,358,62,29,107,995,1193
"Carutapera","MA",2,0,0,0,0,2,2
"Carvalhópolis","MG",0,0,0,0,2,0,2
"Casa Branca","SP",3,11,0,0,6,14,20
"Casa Nova","BA",2,0,0,0,0,2,2
"Casca","RS",5,13,2,3,2,18,25
"Cascavel","CE",14,4,0,0,4,18,22
"Cascavel","PR",622,908,161,74,181,1530,1946
"Caseiros","RS",1,0,0,0,0,1,1
"Casimiro de Abreu","RJ",9,9,5,1,12,18,36
"Cássia","MG",3,2,1,0,3,5,9
"Cássia dos Coqueiros","SP",0,1,1,0,2,1,4
"Cassilândia","MS",1,2,4,1,5,3,13
"Castanhal","PA",111,56,19,14,55,167,255
"Castanheira","MT",0,3,0,0,1,3,4
"Castelândia","GO",0,2,0,0,0,2,2
"Castelo","ES",14,39,5,8,15,53,81
"Castelo do Piauí","PI",3,2,0,0,0,5,5
"Castilho","SP",11,1,1,0,0,12,13
"Castro","PR",21,37,15,6,20,58,99
"Castro Alves","BA",2,2,1,0,4,4,9
"Cataguases","MG",7,10,1,4,7,17,29
"Catalão","GO",35,252,25,10,36,287,358
"Catanduva","SP",97,189,57,22,67,286,432
"Catanduvas","PR",0,1,1,0,5,1,7
"Catanduvas","SC",3,11,1,0,2,14,17
"Catarina","CE",0,2,1,0,0,2,3
"Catas Altas","MG",0,0,0,0,1,0,1
"Catende","PE",2,2,1,1,3,4,9
"Catiguá","SP",1,0,1,0,1,1,3
"Catolé do Rocha","PB",9,8,3,3,2,17,25
"Catu","BA",14,9,3,3,10,23,39
"Catuípe","RS",3,3,0,0,1,6,7
"Catuji","MG",0,0,1,0,0,0,1
"Catunda","CE",1,0,0,0,0,1,1
"Caturaí","GO",0,3,0,0,1,3,4
"Caucaia","CE",247,87,7,4,35,334,380
"Caxambu","MG",1,3,0,0,3,4,7
"Caxambu do Sul","SC",1,0,0,0,0,1,1
"Caxias","MA",21,4,1,2,7,25,35
"Caxias do Sul","RS",1560,787,287,96,291,2347,3021
"Caxingó","PI",1,0,0,0,1,1,2
"Ceará-Mirim","RN",30,5,1,3,4,35,43
"Cedral","MA",3,0,0,0,1,3,4
"Cedral","SP",8,5,6,0,3,13,22
"Cedro","CE",4,0,0,0,1,4,5
"Cedro","PE",1,0,0,0,1,1,2
"Cedro de São João","SE",1,3,0,0,0,4,4
"Celso Ramos","SC",0,0,1,0,1,0,2
"Centenário","RS",0,1,0,0,0,1,1
"Centenário do Sul","PR",4,0,0,0,1,4,5
"Central","BA",0,0,1,0,1,0,2
"Central de Minas","MG",0,0,1,1,0,0,2
"Centralina","MG",0,1,0,0,0,1,1
"Cerejeiras","RO",2,3,3,0,5,5,13
"Ceres","GO",3,13,7,4,3,16,30
"Cerqueira César","SP",7,3,2,0,7,10,19
"Cerquilho","SP",25,55,9,9,33,80,131
"Cerrito","RS",1,0,0,0,0,1,1
"Cerro Azul","PR",2,2,0,0,0,4,4
"Cerro Branco","RS",0,0,0,0,1,0,1
"Cerro Grande do Sul","RS",2,0,1,0,0,2,3
"Cerro Largo","RS",4,1,0,1,4,5,10
"Cerro Negro","SC",0,1,0,0,0,1,1
"Cesário Lange","SP",7,7,1,0,9,14,24
"Céu Azul","PR",1,2,0,0,1,3,4
"Cezarina","GO",0,0,0,0,1,0,1
"Chã de Alegria","PE",2,1,0,0,0,3,3
"Chã Grande","PE",7,1,0,0,3,8,11
"Chapada","RS",0,1,0,1,0,1,2
"Chapada dos Guimarães","MT",16,11,5,1,11,27,44
"Chapadão do Céu","GO",1,5,0,0,3,6,9
"Chapadão do Sul","MS",3,18,6,7,27,21,61
"Chapadinha","MA",5,3,1,1,4,8,14
"Chapecó","SC",442,862,192,106,132,1304,1734
"Charqueada","SP",3,4,0,0,2,7,9
"Charqueadas","RS",20,6,2,1,2,26,31
"Charrua","RS",0,1,0,0,0,1,1
"Chaval","CE",1,1,0,0,0,2,2
"Chavantes","SP",2,3,0,1,4,5,10
"Chiapetta","RS",0,1,0,0,0,1,1
"Chopinzinho","PR",14,7,0,2,0,21,23
"Choró","CE",0,2,0,0,2,2,4
"Chorrochó","BA",1,0,0,0,3,1,4
"Chuí","RS",7,4,1,0,4,11,16
"Chupinguaia","RO",0,2,0,0,0,2,2
"Cianorte","PR",71,98,22,10,18,169,219
"Cícero Dantas","BA",3,0,0,0,5,3,8
"Cidade Gaúcha","PR",4,4,1,0,1,8,10
"Cidade Ocidental","GO",1,0,0,0,0,1,1
"Cidelândia","MA",2,1,1,0,0,3,4
"Cidreira","RS",11,1,0,1,0,12,13
"Cipó","BA",3,3,0,0,0,6,6
"Ciríaco","RS",3,3,1,0,1,6,8
"Cláudia","MT",3,2,2,0,4,5,11
"Cláudio","MG",2,9,3,3,4,11,21
"Clementina","SP",1,3,0,0,1,4,5
"Clevelândia","PR",2,3,2,0,1,5,8
"Coaraci","BA",1,0,1,0,3,1,5
"Coari","AM",1,4,0,0,0,5,5
"Cocal","PI",0,1,0,0,2,1,3
"Cocal de Telha","PI",0,1,0,0,2,1,3
"Cocal do Sul","SC",15,8,5,1,11,23,40
"Cocal dos Alves","PI",1,0,0,0,0,1,1
"Cocalzinho de Goiás","GO",0,1,1,0,1,1,3
"Codó","MA",16,4,1,1,4,20,26
"Coelho Neto","MA",0,1,0,0,0,1,1
"Coimbra","MG",0,0,0,0,3,0,3
"Coité do Nóia","AL",9,2,0,0,0,11,11
"Coivaras","PI",1,0,0,0,0,1,1
"Colares","PA",1,0,0,0,0,1,1
"Colatina","ES",93,137,35,16,65,230,346
"Colíder","MT",7,8,3,2,12,15,32
"Colina","SP",4,9,3,2,2,13,20
"Colinas","MA",1,0,0,0,3,1,4
"Colinas","RS",3,0,0,0,2,3,5
"Colinas do Tocantins","TO",3,5,0,0,4,8,12
"Colméia","TO",0,1,0,0,2,1,3
"Colniza","MT",0,0,0,0,1,0,1
"Colômbia","SP",1,3,2,0,0,4,6
"Colombo","PR",309,189,21,19,31,498,569
"Colônia Leopoldina","AL",0,0,1,0,0,0,1
"Colorado","PR",4,8,2,0,6,12,20
"Colorado","RS",4,1,0,0,0,5,5
"Colorado do Oeste","RO",0,1,1,1,1,1,4
"Coluna","MG",0,0,0,1,0,0,1
"Comendador Levy Gasparian","RJ",3,4,0,0,0,7,7
"Comodoro","MT",1,5,3,0,1,6,10
"Conceição","PB",0,1,1,0,1,1,3
"Conceição da Aparecida","MG",0,1,0,0,3,1,4
"Conceição da Barra","ES",9,13,4,1,1,22,28
"Conceição da Feira","BA",5,2,0,1,2,7,10
"Conceição das Alagoas","MG",1,2,2,0,2,3,7
"Conceição de Macabu","RJ",2,0,0,0,6,2,8
"Conceição do Almeida","BA",1,2,1,0,1,3,5
"Conceição do Araguaia","PA",3,2,0,0,3,5,8
"Conceição do Canindé","PI",1,0,0,0,0,1,1
"Conceição do Castelo","ES",3,0,0,0,7,3,10
"Conceição do Coité","BA",20,14,1,0,10,34,45
"Conceição do Jacuípe","BA",13,13,2,3,10,26,41
"Conceição do Lago-Açu","MA",1,0,0,0,0,1,1
"Conceição do Mato Dentro","MG",1,2,0,0,3,3,6
"Conceição do Pará","MG",0,0,0,0,1,0,1
"Conceição do Rio Verde","MG",0,2,0,0,0,2,2
"Conceição dos Ouros","MG",2,4,0,0,2,6,8
"Conchal","SP",6,17,4,0,9,23,36
"Conchas","SP",2,8,0,0,5,10,15
"Concórdia","SC",48,110,38,8,20,158,224
"Concórdia do Pará","PA",0,0,0,0,4,0,4
"Condado","PB",0,0,0,0,1,0,1
"Condado","PE",4,1,0,0,1,5,6
"Conde","BA",4,1,0,0,1,5,6
"Conde","PB",16,7,0,0,3,23,26
"Condeúba","BA",5,1,1,0,2,6,9
"Condor","RS",1,1,0,0,1,2,3
"Confins","MG",9,4,0,2,27,13,42
"Confresa","MT",0,1,2,1,1,1,5
"Congonhal","MG",1,5,0,0,1,6,7
"Congonhas","MG",4,5,0,0,4,9,13
"Conquista","MG",0,0,0,0,1,0,1
"Conquista D'Oeste","MT",0,3,0,1,0,3,4
"Conselheiro Lafaiete","MG",29,24,1,5,10,53,69
"Conselheiro Pena","MG",2,0,0,1,4,2,7
"Constantina","RS",0,0,0,0,1,0,1
"Contagem","MG",304,325,63,34,184,629,910
"Contenda","PR",13,7,0,1,2,20,23
"Contendas do Sincorá","BA",1,0,0,0,0,1,1
"Coqueiro Baixo","RS",1,0,0,0,0,1,1
"Coqueiro Seco","AL",3,0,0,0,0,3,3
"Coração de Maria","BA",1,2,0,0,2,3,5
"Corbélia","PR",3,12,5,0,3,15,23
"Cordeiro","RJ",5,5,2,2,4,10,18
"Cordeirópolis","SP",19,29,6,5,14,48,73
"Cordeiros","BA",0,1,0,0,0,1,1
"Cordilheira Alta","SC",2,10,1,2,0,12,15
"Coreaú","CE",1,0,0,0,0,1,1
"Coremas","PB",0,1,1,0,1,1,3
"Corguinho","MS",0,1,0,0,2,1,3
"Corinto","MG",0,0,0,0,1,0,1
"Cornélio Procópio","PR",18,38,13,3,17,56,89
"Coroaci","MG",2,0,0,0,2,2,4
"Coroados","SP",0,5,1,1,0,5,7
"Coroatá","MA",1,2,0,0,3,3,6
"Coromandel","MG",2,2,2,0,4,4,10
"Coronel Bicaco","RS",0,2,0,0,0,2,2
"Coronel Domingos Soares","PR",0,0,0,0,1,0,1
"Coronel Fabriciano","MG",52,35,6,5,28,87,126
"Coronel Freitas","SC",4,1,1,1,1,5,8
"Coronel João Pessoa","RN",1,0,0,0,0,1,1
"Coronel João Sá","BA",1,1,0,0,0,2,2
"Coronel Martins","SC",0,0,0,1,0,0,1
"Coronel Pacheco","MG",1,3,0,0,0,4,4
"Coronel Sapucaia","MS",1,0,0,0,0,1,1
"Coronel Vivida","PR",17,12,3,1,3,29,36
"Coronel Xavier Chaves","MG",0,1,0,0,0,1,1
"Córrego do Bom Jesus","MG",1,0,0,0,0,1,1
"Córrego do Ouro","GO",0,0,0,0,1,0,1
"Córrego Fundo","MG",1,0,0,0,0,1,1
"Correia Pinto","SC",6,8,0,0,1,14,15
"Corrente","PI",0,2,0,0,0,2,2
"Correntes","PE",0,0,0,0,1,0,1
"Correntina","BA",0,2,0,0,1,2,3
"Cortês","PE",1,0,0,0,0,1,1
"Corumbá","MS",7,39,10,6,39,46,101
